Downloaded from https://mol.org on Oct 3, 2021. Inclusive species list based on approximate intersections with Political boundary polygon for the Mexico region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Ibycter americanus","Red Throated Caracara","Falconidae","Birds"
"Calonectris diomedea","Scopoli's Shearwater","Procellariidae","Birds"
"Mergus serrator","Red-Breasted Merganser","Anatidae","Birds"
"Troglodytes tanneri","Clarion Island Wren","Troglodytidae","Birds"
"Sittasomus griseicapillus","Olivaceous Woodcreeper","Dendrocolaptidae","Birds"
"Dendroica magnolia","Magnolia Warbler","Parulidae","Birds"
"Spizaetus ornatus","Ornate Hawk-Eagle","Accipitridae","Birds"
"Egretta caerulea","Little Blue Heron","Ardeidae","Birds"
"Columbina minuta","Plain-Breasted Ground-Dove","Columbidae","Birds"
"Accipiter chionogaster","White Breasted Hawk","Accipitridae","Birds"
"Sialia sialis","Eastern Bluebird","Turdidae","Birds"
"Sphyrapicus varius","Yellow-Bellied Sapsucker","Picidae","Birds"
"Coccyzus minor","Mangrove Cuckoo","Cuculidae","Birds"
"Callipepla squamata","Scaled Quail","Odontophoridae","Birds"
"Glaucidium gnoma","Northern Pygmy-Owl","Strigidae","Birds"
"Euphagus carolinus","Rusty Blackbird","Icteridae","Birds"
"Bombycilla cedrorum","Cedar Waxwing","Bombycillidae","Birds"
"Tyrannus couchii","Couch's Kingbird","Tyrannidae","Birds"
"Colinus nigrogularis","Black-Throated Bobwhite","Odontophoridae","Birds"
"Tilmatura dupontii","Sparkling-Tailed Hummingbird","Trochilidae","Birds"
"Sialia currucoides","Mountain Bluebird","Turdidae","Birds"
"Aratinga holochlora","Green Conure","Psittacidae","Birds"
"Egretta tricolor","Tricoloured Heron","Ardeidae","Birds"
"Vermivora pinus","Blue-Winged Warbler","Parulidae","Birds"
"Amazona viridigenalis","Green-Cheeked Amazon","Psittacidae","Birds"
"Phalacrocorax penicillatus","Brandt's Cormorant","Phalacrocoracidae","Birds"
"Phoebastria immutabilis","Laysan Albatross","Diomedeidae","Birds"
"Megascops guatemalae","Vermiculated Screech Owl","Strigidae","Birds"
"Sporophila corvina","Variable Seedeater","Emberizidae","Birds"
"Chaetura vauxi","Vaux's Swift","Apodidae","Birds"
"Hylophilus ochraceiceps","Tawny-Crowned Greenlet","Vireonidae","Birds"
"Phalacrocorax brasilianus","Neotropic Cormorant","Phalacrocoracidae","Birds"
"Megascops kennicottii","Western Screech Owl","Strigidae","Birds"
"Strix virgata","Mottled Owl","Strigidae","Birds"
"Melozone crissalis","California Towhee","Emberizidae","Birds"
"Sayornis nigricans","Black Phoebe","Tyrannidae","Birds"
"Agelaius tricolor","Tricoloured Blackbird","Icteridae","Birds"
"Archilochus colubris","Ruby-Throated Hummingbird","Trochilidae","Birds"
"Zenaida asiatica","White-Winged Dove","Columbidae","Birds"
"Vireo gilvus","Warbling Vireo","Vireonidae","Birds"
"Fulica americana","American Coot","Rallidae","Birds"
"Seiurus motacilla","Louisiana Waterthrush","Parulidae","Birds"
"Buteogallus anthracinus","Common Black-Hawk","Accipitridae","Birds"
"Zoothera pinicola","Aztec Thrush","Turdidae","Birds"
"Xenops minutus","Plain Xenops","Furnariidae","Birds"
"Turdus infuscatus","Black Robin","Turdidae","Birds"
"Branta bernicla","Brant","Anatidae","Birds"
"Aramides axillaris","Rufous-Necked Wood-Rail","Rallidae","Birds"
"Amazona xantholora","Yellow-Lored Amazon","Psittacidae","Birds"
"Dendrocincla homochroa","Ruddy Woodcreeper","Furnariidae","Birds"
"Oryzoborus funereus","Thick Billed Seed Finch","Emberizidae","Birds"
"Empidonax flavescens","Yellowish Flycatcher","Tyrannidae","Birds"
"Sphyrapicus ruber","Red-Breasted Sapsucker","Picidae","Birds"
"Aimophila notosticta","Oaxaca Sparrow","Emberizidae","Birds"
"Strix occidentalis","Spotted Owl","Strigidae","Birds"
"Mergus merganser","Goosander","Anatidae","Birds"
"Gavia immer","Common Loon","Gaviidae","Birds"
"Carduelis pinus","Pine Siskin","Fringillidae","Birds"
"Campylopterus hemileucurus","Violet Sabrewing","Trochilidae","Birds"
"Passerina cyanea","Indigo Bunting","Emberizidae","Birds"
